student_id,Age,Gender,Living_Status,GPA,Attendance_Rate,acad_workload_stress,acad_exam_anxiety,acad_confidence,acad_grade_pressure,sleep_duration,sleep_disturbance,sleep_restfulness,sleep_aid_usage,screen_time_daily,screen_distraction,screen_bedtime_habit,screen_physical_strain,social_media_daily,social_media_comparison,social_media_dependency,fin_expense_worry,fin_academic_impact,fin_work_status,fam_communication,fam_support_emotional,fam_conflict_stress,fam_contact_satisfaction,phys_exercise_frequency,phys_stress_relief,phys_sedentary_habit,study_hours_weekly,study_cramming_habit,study_procrastination,study_peer_collaboration,well_depressive_mood,well_anxious_mood,well_emotional_coping,well_loneliness,well_optimism,well_overwhelmed,env_belonging,env_safety,env_counseling_use,Coping_Mechanism,Risk_Level
STU-2026-0001,19,Male,Off-Campus with family,3.11,1.0,4,3,2,5,7.5,2,4,1,5.407851032678482,2,3,3,2.6010012770580744,3,5,2,3,Part-time,3,2,1,3,1.5,5,5,11.881972825353966,5,2,2,1.0,2,4,2,4,3,2,3,0,Social Support Seeking,2
STU-2026-0002,24,Female,On-Campus,2.95,1.0,2,1,4,2,8.5,2,4,1,8.049150612030164,3,4,4,2.0603192614565216,3,1,2,3,No,4,5,1,3,0.0,2,4,7.256185389383606,3,2,2,0.0,0,5,1,5,2,4,4,0,Social Support Seeking,0
STU-2026-0003,21,Female,Off-Campus with family,2.67,1.0,1,1,5,2,8.3,2,4,2,5.015158314737915,2,5,2,2.531415931525274,1,2,1,2,No,2,2,1,1,5.5,4,4,15.530893839111059,2,2,1,0.0,1,4,2,4,4,1,3,2,Active Coping,1
STU-2026-0004,20,Female,Off-Campus with family,3.21,0.6,3,3,3,3,8.0,2,3,2,1.0,1,4,1,0.5,2,2,2,2,No,5,4,1,4,0.0,3,2,12.652239104693335,4,3,4,0.0,3,5,1,5,2,5,4,0,Active Coping,1
STU-2026-0005,19,Male,Off-Campus with family,2.76,1.0,4,3,2,4,8.1,1,5,1,6.194967056980409,3,4,3,3.6921787870492597,2,3,1,1,No,4,5,3,3,3.5,2,4,14.02351152208953,3,5,4,0.0,2,4,2,5,1,5,4,0,Denial,0
STU-2026-0006,19,Female,Off-Campus with family,2.89,1.0,2,1,3,2,6.3,2,4,1,6.397517015362009,3,4,2,4.435678795155808,5,3,3,3,Part-time,2,2,1,1,0.0,3,4,16.52330914349041,5,2,2,0.0,1,4,1,4,2,4,5,0,Active Coping,0
STU-2026-0007,18,Male,Off-Campus alone,2.78,1.0,3,2,4,4,7.7,4,2,1,7.023066085360818,2,3,3,2.285563702535234,2,1,1,2,Part-time,3,4,5,3,1.5,4,4,2.490985693060683,2,3,4,0.0,2,5,3,5,3,2,4,0,Social Support Seeking,1
STU-2026-0008,22,Male,Off-Campus alone,2.69,1.0,5,5,1,5,5.5,3,3,2,10.147208433223824,5,5,4,4.615236804466186,3,3,4,4,No,2,1,2,2,1.5,2,5,7.333626981454376,3,5,2,2.0,3,3,3,3,5,2,3,0,Social Support Seeking,2
STU-2026-0009,20,Female,Off-Campus with family,3.49,0.8,4,4,1,5,6.4,1,5,1,7.133806994747613,2,4,4,4.6685965953908415,3,1,1,1,No,2,1,1,2,0.0,4,3,26.48221538402594,4,4,1,1.0,3,4,2,4,3,3,4,0,Substance Use,2
STU-2026-0010,21,Male,On-Campus,2.22,0.8,5,5,2,5,7.9,1,5,1,7.607343386064268,4,5,3,4.5080732142471875,3,3,4,3,Full-time,4,3,1,3,5.5,2,4,12.466947466501912,2,4,4,0.0,3,4,1,5,1,2,2,2,Active Coping,1
STU-2026-0011,18,Male,Off-Campus alone,2.68,1.0,3,2,4,3,4.4,3,3,1,9.638842434123548,5,3,5,4.276784765318383,3,3,4,4,No,4,3,2,4,0.0,3,5,2.4128344880123542,3,2,3,2.0,2,5,2,5,4,3,1,0,Active Coping,2
STU-2026-0012,24,Non-Binary,Off-Campus alone,2.76,0.8,3,3,4,4,9.2,2,3,2,7.025860039589405,2,2,4,4.726196455712473,1,4,3,2,No,5,5,2,4,3.5,3,5,7.7502991024187375,5,4,2,0.0,1,5,2,4,4,5,4,1,Active Coping,1
STU-2026-0013,22,Non-Binary,On-Campus,3.38,1.0,4,3,2,5,7.5,2,3,1,12.341301863225254,4,5,5,2.8214480288169774,1,1,2,1,No,4,5,1,4,3.5,5,5,27.422336843207166,3,2,2,0.0,3,5,2,5,3,3,3,0,Social Support Seeking,1
STU-2026-0014,19,Female,Off-Campus alone,2.01,0.4,3,3,4,4,6.1,1,5,2,3.840729265052495,2,4,3,2.5560026752372993,2,2,3,4,Part-time,5,5,1,5,1.5,4,3,11.4850126986508,3,5,5,0.0,3,5,3,5,2,4,4,0,Active Coping,1
STU-2026-0015,19,Female,Off-Campus alone,2.92,0.4,1,1,5,2,10.0,1,4,2,4.66463071723039,2,3,2,1.0507253104241019,1,2,3,3,Part-time,5,4,3,4,3.5,5,4,20.795076224485783,5,4,4,0.0,0,4,1,4,1,4,4,0,Active Coping,0
STU-2026-0016,19,Male,Off-Campus with family,3.07,1.0,2,2,5,3,9.9,1,5,1,8.534896020677035,5,3,3,4.042573745456448,2,3,3,3,No,5,5,1,4,1.5,4,5,15.605589991686026,2,4,4,0.0,1,5,2,5,2,5,5,0,Active Coping,0
STU-2026-0017,19,Male,Off-Campus with family,2.66,0.6,3,4,2,3,6.8,1,5,1,10.135783832346597,3,5,4,6.53981524867371,3,3,5,5,No,3,2,4,2,3.5,3,5,12.575164812505145,5,2,1,0.0,2,4,2,4,3,1,5,0,Social Support Seeking,1
STU-2026-0018,20,Male,On-Campus,2.56,0.8,2,3,3,3,6.6,2,4,2,6.498012507828439,2,4,4,2.1531844902306054,1,1,4,3,Part-time,2,2,2,2,1.5,4,3,18.877227353815464,4,2,4,1.0,2,4,2,4,3,3,2,0,Substance Use,2
STU-2026-0019,20,Female,On-Campus,3.09,1.0,3,2,3,3,9.5,1,4,1,4.4734470730264855,3,4,3,1.9509787472789824,3,3,3,2,Part-time,2,2,1,1,1.5,1,4,3.078216623218559,3,2,2,0.0,2,4,3,4,2,4,4,0,Social Support Seeking,1
STU-2026-0020,19,Female,On-Campus,2.6,1.0,2,2,3,2,6.4,1,5,3,11.402473963063379,4,3,5,4.129570592527072,2,3,3,3,No,4,4,1,4,1.5,4,5,7.794336900716986,3,3,5,0.0,2,4,2,5,2,4,3,0,Social Support Seeking,1
STU-2026-0021,20,Female,Off-Campus alone,2.9,1.0,1,1,5,1,7.9,3,3,1,5.019077762989224,2,4,3,3.3932577332795297,3,1,4,3,Full-time,3,4,1,3,3.5,3,4,12.538244939302196,5,2,1,0.0,1,4,2,4,2,5,4,1,Denial,0
STU-2026-0022,18,Female,On-Campus,1.99,0.8,4,3,1,4,8.5,1,4,1,7.8476361278324465,3,5,4,4.801362688523688,3,4,1,2,No,2,3,3,2,5.5,3,5,8.285478008651959,2,4,2,0.0,2,4,1,5,2,4,3,0,Active Coping,1
STU-2026-0023,19,Male,On-Campus,3.13,0.4,3,3,4,3,6.8,2,3,3,10.285379528369463,4,3,4,5.703250720763569,3,2,2,3,No,3,2,1,2,0.0,4,5,12.096111057480142,2,2,2,0.0,2,4,1,4,3,2,2,0,Active Coping,1
STU-2026-0024,19,Female,On-Campus,2.98,0.8,4,3,1,4,7.4,1,5,1,5.895986941447448,2,4,3,2.911517908051887,4,2,5,5,Full-time,1,2,1,1,1.5,4,3,19.26856522841414,2,4,4,0.0,2,3,3,5,3,3,4,0,Denial,1
STU-2026-0025,20,Male,Off-Campus with family,2.92,0.6,2,2,4,3,6.4,2,3,1,5.444680406858215,3,5,2,3.3228661000525994,3,3,1,2,No,4,5,2,3,1.5,5,4,15.660683606679905,2,1,4,0.0,1,5,1,5,2,1,4,0,Social Support Seeking,0
STU-2026-0026,21,Female,Off-Campus alone,3.55,0.8,2,1,3,3,7.0,3,2,2,5.61578064492584,1,3,3,2.2245989587002963,2,3,4,5,Part-time,1,1,1,1,3.5,4,3,21.653085177547947,3,2,2,1.0,2,4,3,3,4,4,4,0,Active Coping,2
STU-2026-0027,19,Male,On-Campus,2.8,0.8,4,4,3,5,6.9,1,5,1,9.25387814143691,2,4,4,3.9215707928501446,2,1,1,1,No,4,3,2,4,0.0,4,4,15.976876421758721,5,4,3,0.0,2,3,2,5,3,4,4,0,Active Coping,1
STU-2026-0028,20,Female,On-Campus,3.44,0.8,3,2,3,3,5.8,2,4,1,9.650369263006649,3,4,4,5.452466938131678,4,4,2,3,No,4,4,3,3,3.5,3,4,19.962304157472634,5,4,4,0.0,2,3,2,5,2,4,4,1,Denial,1
STU-2026-0029,20,Male,Off-Campus with family,2.43,1.0,3,3,4,4,6.3,2,4,1,7.084313479405318,3,4,3,2.684086141842623,3,3,2,3,Full-time,2,1,2,2,0.0,5,4,14.679648499357512,2,3,1,2.0,2,4,4,5,4,5,4,1,Active Coping,2
STU-2026-0030,18,Male,Off-Campus with family,3.12,1.0,3,4,4,4,6.8,1,4,2,11.707705632674333,5,4,5,2.715607836111338,3,2,2,3,No,4,3,4,4,1.5,4,5,12.048622583201087,3,1,4,1.0,2,4,2,5,3,4,4,0,Denial,2
STU-2026-0031,20,Male,On-Campus,3.71,0.8,5,5,1,5,5.6,2,3,2,7.07991639817532,2,4,3,1.6791246878372872,1,2,4,3,Part-time,4,5,3,4,3.5,4,5,22.40284027770944,4,4,5,0.0,3,5,1,5,3,3,2,1,Active Coping,1
STU-2026-0032,19,Female,Off-Campus with family,2.76,1.0,3,2,4,3,6.1,3,2,1,10.230833035420414,4,4,3,2.636295386412601,2,1,2,2,No,3,3,1,2,3.5,2,5,11.453248560319667,1,3,1,1.0,2,4,2,4,3,2,4,0,Active Coping,2
STU-2026-0033,18,Female,On-Campus,3.36,0.8,3,4,4,4,9.6,1,5,2,5.9199959893726515,3,4,3,3.758254170987922,4,1,3,3,No,2,3,1,2,3.5,4,4,16.719224115621497,4,3,1,0.0,2,5,2,5,3,5,4,1,Active Coping,1
STU-2026-0034,23,Male,On-Campus,3.76,1.0,4,4,1,4,6.2,2,3,3,12.83439133426391,4,4,4,5.597247640120706,3,5,3,3,No,3,4,1,3,1.5,3,5,18.844486816122366,5,4,2,0.0,3,4,3,5,2,2,3,0,Denial,1
STU-2026-0035,24,Male,Off-Campus with family,3.14,1.0,3,4,4,4,6.4,2,3,1,10.925328538949278,3,2,4,6.07930275514777,5,4,5,4,Part-time,4,5,2,3,3.5,4,5,19.20746352235428,5,3,1,0.0,2,4,3,5,4,2,2,0,Denial,1
STU-2026-0036,22,Female,Off-Campus with family,2.64,0.8,3,3,4,3,7.1,2,4,1,6.680063411178711,3,4,2,2.6483423205781347,2,2,1,1,No,4,3,1,3,1.5,5,3,9.172786648899901,3,1,2,0.0,2,5,1,4,3,2,3,0,Active Coping,1
STU-2026-0037,19,Male,Off-Campus alone,2.99,1.0,3,4,4,3,6.6,2,4,1,10.586350521792507,5,5,4,3.4866724909419697,3,3,3,3,Part-time,2,2,5,1,5.5,5,5,20.259752029141328,3,5,3,0.0,2,4,4,4,4,3,4,0,Social Support Seeking,1
STU-2026-0038,18,Female,On-Campus,2.73,1.0,4,3,3,4,7.5,2,4,1,10.459951227930045,4,4,4,3.9077968152960354,3,3,1,1,No,3,3,2,2,1.5,4,3,10.105223769463649,1,4,3,1.0,3,5,1,5,3,2,5,0,Active Coping,2
STU-2026-0039,21,Female,Off-Campus with family,2.97,1.0,2,2,4,3,7.4,3,2,1,10.882602690731622,3,5,3,6.497906002186489,3,4,5,5,Full-time,3,4,1,2,1.5,5,5,19.05351827674997,3,1,1,0.0,1,5,4,5,3,5,4,2,Active Coping,0
STU-2026-0040,20,Male,Off-Campus with family,2.69,0.6,2,2,3,3,8.0,1,5,2,1.0,1,4,1,0.512608062515719,1,2,4,3,No,5,4,2,4,0.0,2,3,17.675867355245494,3,3,3,0.0,2,3,2,5,2,5,4,0,Denial,1
STU-2026-0041,18,Male,On-Campus,3.58,1.0,3,2,4,3,7.0,2,3,1,8.798378623227089,4,5,5,5.884530622779897,3,3,3,4,Part-time,3,3,1,3,1.5,5,5,19.093153308899492,5,1,3,0.0,2,4,1,4,3,5,5,0,Active Coping,1
STU-2026-0042,20,Prefer not to say,Off-Campus with family,2.4,0.6,4,5,3,5,8.6,1,4,1,8.355746923264354,4,5,3,4.5108699408136,3,4,4,5,Part-time,5,5,3,5,0.0,4,4,8.974982394504863,5,5,5,0.0,3,5,2,5,1,1,3,0,Denial,1
STU-2026-0043,18,Male,On-Campus,3.25,1.0,1,1,5,1,5.8,2,4,1,8.177683202358631,3,3,3,3.9669190166186237,4,3,3,3,Part-time,3,4,2,3,3.5,4,4,17.939648713671957,5,4,1,1.0,0,5,2,4,2,5,3,1,Social Support Seeking,0
STU-2026-0044,23,Male,Off-Campus alone,2.98,0.4,5,4,2,5,7.3,3,3,1,7.545866083494744,4,4,5,3.8114019009439795,3,2,4,3,Part-time,4,3,1,4,3.5,5,4,20.42796838204086,5,2,3,0.0,3,4,2,4,3,5,4,2,Substance Use,2
STU-2026-0045,19,Female,On-Campus,3.25,0.4,3,4,3,4,7.5,3,3,1,7.619528198786316,3,4,3,5.114118518137482,3,3,1,1,Part-time,4,5,1,3,5.5,5,5,15.966978915808703,1,1,5,0.0,3,4,1,4,3,5,4,0,Denial,2
STU-2026-0046,21,Non-Binary,Off-Campus with family,2.76,1.0,5,4,1,5,6.2,3,3,1,10.207850763245201,3,4,5,6.064488884414256,5,4,4,5,Part-time,4,4,4,4,0.0,3,4,10.906916601977116,3,1,3,0.0,3,3,2,5,3,4,4,1,Denial,2
STU-2026-0047,19,Prefer not to say,On-Campus,3.35,1.0,5,5,1,5,7.1,3,3,1,8.348683434233429,4,2,3,1.7700930269165125,2,2,1,2,No,3,2,2,2,0.0,5,4,19.59873807163995,1,3,2,0.0,3,5,2,4,4,4,4,1,Active Coping,2
STU-2026-0048,20,Female,Off-Campus alone,3.32,1.0,3,3,4,3,6.5,2,3,1,7.542266109330907,2,5,3,3.5227650857724697,2,1,4,3,No,4,5,5,3,3.5,2,4,15.56959814050385,2,4,1,,2,3,2,4,2,2,5,0,Denial,1
STU-2026-0049,20,Male,Off-Campus with family,3.1,0.8,2,2,5,2,7.7,3,2,2,9.848452537089047,3,1,5,5.359224595203614,2,3,5,4,Full-time,3,3,1,3,1.5,5,4,6.627778680861521,3,2,4,0.0,1,5,3,5,4,5,4,1,Active Coping,1
STU-2026-0050,19,Male,Off-Campus with family,2.74,1.0,2,1,5,3,6.0,4,1,1,8.045065446029675,4,4,3,4.620677218398854,4,3,4,3,Part-time,3,4,1,3,1.5,4,4,10.519052688416698,4,2,2,0.0,1,5,1,5,3,1,2,0,Social Support Seeking,0
STU-2026-0051,24,Female,On-Campus,2.78,1.0,2,2,4,2,8.3,1,5,1,8.28392106838345,4,4,4,2.5396104600489995,2,3,1,1,Part-time,4,5,1,3,3.5,2,4,12.368527343865132,4,3,5,0.0,1,5,1,5,2,3,4,0,Active Coping,0
STU-2026-0052,21,Female,Off-Campus with family,3.03,1.0,4,4,3,5,6.7,3,2,1,11.667592772028069,3,3,5,7.392454670837123,4,5,2,1,No,5,5,2,4,1.5,4,5,22.529091438198282,1,2,4,0.0,2,4,2,3,2,5,2,0,Denial,1
STU-2026-0053,23,Male,On-Campus,3.98,1.0,2,2,5,2,7.2,2,4,1,5.913798218625882,1,5,2,4.009091394250296,2,4,1,1,No,4,3,1,3,0.0,4,3,21.65091543153107,1,3,2,0.0,2,5,2,4,2,3,4,0,Social Support Seeking,0
STU-2026-0054,22,Female,Off-Campus alone,3.73,1.0,3,3,2,4,7.0,3,3,1,3.2107241539968934,1,5,2,1.0221586058478214,3,1,2,2,No,3,3,1,2,3.5,4,4,21.63484265528338,1,4,3,0.0,3,5,4,5,3,2,3,0,Social Support Seeking,1
